%
£s
1sec
1t-bit
1-up
200–300-birds
2003–07s
200k-byte
200lb
200m-byte
200metre
20–24-year-olds
20–50ns
20–55lbs
20-character
20g-operation
20in
20lb
20sec
20-year-old
210in
2½miles
21in
21lb
21-month
21sec
21-year-old
21-years-old
220lb
22.0sec
222lb
2-2-2wt
226-second
22.8sec
2,290lb
22in
22lb
22-mile
22sec
22-year-old
230-pound
23.2sec
23.5sec
2–3hours
23in
2–3inches
2–3ins
23-point
23sec
24-hour
24in
24-pack
24sec
2.4sec
24-time
24-turn
24-valve
24-year-old
2–4-year-olds
25–34-year-olds
25-35-year-old
25–44-year-olds
25.7sec
25-goal
25in
25lb
25-miler
25-point
25-pound
25sec
25-time
2.5-turn
25-year-old
2–5-year-olds
265lb
267m-flop
2–6ins
26lb
26sec
26-year-old
27.3sec
27in
27lb
27sec
28.3sec
28-mer
28-turn
29½ins
2,920lb
29lb
29sec
29-time
29-year-old
2-ax
2-cycle
2'-deoxyoligonucleotide
2-direction
2-er
2-gram
2in
2inch
2-iron
2lb
2m-byte
2metre
2oz
2-pence
2sec
2-year
2-year-old
2yr
30,000lb
300-500lb
300lb
300-pound
30½ins
30–40kms
30in
30lb
30-miler
30o-segment
30sec
3.0sec
30-year-old
3–11s
3½ins
3½ins–5ins
315lb
31-point
31sec
320m-byte
322lb
32-bit
32-footer
32-pounder
32sec
3.2sec
32-tonner
32-year-old
330lb
33½ins
33,170lb
337lb
33lb
33-pound
33sec
3.3sec
34.0sec
34-26-34in
34sec
3.4sec
3–4tbs
35,000lb
35–44-year-olds
354m-byte
35-county
35-footer
3–5s
35sec
35-year-old
36–51s
36-bit
36-hole
3.6sec
3.7sec
38in
38sec
39.4in
39lb
39sec
3-cycle
3-fathom
3-gram
3in
3inch
3-lb
3lb
3-litre
3'-nucleotide
3'-o-methylnucleotide
3oz
3-putt
–3()s
3sec
3-tonner
3-week
3-year-old
3yr
400er
400lb
400metre
40-38-44in
40lb
40-over
40-pluser
40sec
40-year-old
4½-year-olds
418metre
41.8sec
41in
41sec
4.1sec
42-mer
42sec
43sec
4.3sec
44.47sec
444lb
44lb
44-point
44sec
44-second
44-time
450-metre
450-yard
45–105s
45.26sec
45.44sec
4–5cms
45sec
46.46sec
46.55sec
46lb
46-time
47.29sec
47in
480,000lb
4,800bps/2,400bp
4–8ins
48sec
49-day
49-er
4.9sec
4-aminoquinoline
4–caps
4-cep
4-cig
4g-byte
4g-word
4-hap
4in
4inch
4-iron
4lb
4-linkage
4-ohm
4oz
4-pound
4-rep
4sec
4-sheet
4-skin
4-string
4-sub
4-vep
4-way
4-wheeler
4-year-old
4yr
50,000lb
5000lb
500lb
500m-bit
500-pound
50–60specmarks
50.9in
50-footer
50lb
50-metre
50-over
50sec
50-time
50-yard
50-year-old
5–10mbps
5–10mins
51.1sec
5–15cms
5–1s
51sec
52sec
5.2sec
530lb
53sec
544-member
545-member
54.64sec
54-run
54sec
5.4sec
550-use
55lb
55-over
55-pluse
5.5sec
5-6
5600lb
56sec
57sec
5.8in
58sec
5990-1400a
5.9sec
5in
5-iron
5lb
5'-nucleotide
5oz
5sec
5s-gene
5-stringer
5-wood
5-year-old
600lb
60–64-year-olds
60lb
60m-byte
60metre
60–overs
60-year
60-year-old
6–10s
6½lbs
6–14-year-olds
61-miler
6.1sec
6.3sec
640-metre
64.8in
64-bit
64in
64-year-old
6.5sec
65-year-old
6665-hour
66-hour
66m-byte
6.6sec
6–7½cms
67in
6.7sec
68.1in
68.7sec
6–8s
6.8sec
6-day
6-glucuronide
6in
6-in-3-hour
6inch
6lb
6-month-old
6–overs
6oz
6-pounder
6sec
6-year-old
707-load
70lb
7.0sec
70-year-old
70yr
7–10kcs
710lb
71½–8cms
7½ins
7.1sec
71-year-old
72in
7.3sec
7.41sec
7.43sec
7.4sec
74-year-old
75lb
7.5sec
76in
7.6sec
77lb
7.7-percentage-point
7.7sec
78.4in
7-day
7in
7lb
7-night
7oz
7sec
7-year-old
80.5in
80inch
80lb
80m-byte
8.0sec
8½lbs
8–12-year-olds
8.1sec
825-metre
8.2sec
8.3sec
8,400lb
84-page
8.4sec
8.6sec
8.8sec
8.9sec
8-bar
8-bit
8-cell
8in
8inch
8-iron
8lb
8oz
8sec
8-stringer
8-year-old
90–95lbs
90-minute
9.0sec
90-year-old
90–years
9–13-year-olds
9–14-year-olds
9.1sec
920metre
9,250lb
93.7in
9.3sec
94in
94-year-old
9.5sec
96in
9.6oz
9.6sec
98in
9.8sec
9.9sec
9in
9-iron
9lb
9m-byte
9-month-old
9oz
9sec
9-vector
9-year-old
a
a-1-plu
aaaage
aac
aah
aam
aardvark
aat
aba
abaco
abacuse
abacus-for-brain
abalone
abandon
abandonment
abase
abate
abatement
abattoir
abaya
abbacy
abbassid
abbatoir
abbe
abberation
abbess
abbey
abbey-gate
abbot
abbotsonian
abbreviation
abc
abdab
abdicate
abdomen
abdominal
abduct
abducted-by-alien
abductee
abduction
abductor
abeille
abercromby
aberdonian
aberrance
aberration
abess
abet
abett
abettor
abhomynacioun
abhor
abhorrence
abhuman
abide
abigail
abilite
ability
abjure
abkhazian
ablate
ablation
able-label
ablution
abnormal
abnormality
abnormal-normal
abo
abode
abodrite
abolish
abolitionist
a-bomb
abominate
abomination
aboriginal
aborigine
abort
abortifacient
abortion
abortionist
abortion-right
abotrite
abound
about-turn
above-stair
abr
abram
abrash
abrasion
abrasive
abraxa
abridgement
abridgment
abrine
abrogate
abrogation
abscess
abscond
absconder
absconding
abseil
abseiler
absence
absent
absentee
absesto
absolute
absolutism
absolutist
absolutize
absolve
absorb
absorbance
absorbent
absorber
absorbers/regenerator
absorption
abstain
abstainer
abstention
abstentionist
abstinence
abstract
abstraction
abstractionist
abstractor
absurd
absurdist
absurdity
abundance
abundance-bringer
abuse
abuser
abut
abutilon
abutment
aby
abyss
abyssinian
ac
acacia
acad
academe
academic
academical
academician
académies
academy
acadian
acanthocephalan
acanthocyte
accede
accelerant
accelerate
acceleration
accelerator
accelerometer
accent
accentuate
accentuation
accept
acceptance
accepter
acceptor
access
accessibility
accession
accessoriser
accessory
accesswork
acciaccatura
'accident
accident
accidental
accidentalist
acclaim
acclamation
acclimation
acclivity
accolade
accommodate
accommodation
accomodation
accompaniment
accompanist
accompa-ny
accompany
accomplice
accomplish
accomplishment
accompt
accord
accordian
accordion
accordionist
accost
account
accountability
account-ant
accountant
accountants/bank
accountants/system
accountemp
account-holder
accountholder
accounting-dictionary
accounts/forecast
accoutant
accouterment
accoutrement
accredit
accreditation
accrete
accretion
accrochage
accrual
accrue
accumulate
accumulation
accumulator
accur
accuracy
accusation
accuse
accuser
accustion
accustom
ace
ace-inhibitor
acer
acerbity
acetate
acetyl
acetylene
acetylide
acetyls/solvent
aceve
ach
achaean
achaemenid
achaimene
acharnian
acheille
achelly
acheloo
achieve
achievement
achiever
achievment
achille
achillea
achondrite
achrome
acid
acidifier
acidify
acidity
acid-level
acid-lover
acidulées
acitivity
acker
acknowledge
acknowledgement
acknowledgment
ackroyd
ack-tor
acl
acm
acme
aco
acolyte
a-conformoline
aconite
acorn
acoustic
acquaint
acquaintance
acquaintanceship
acquiantance
acquiesce
acquire
acquirement
acquirer
acquiror
acquisition
acquisiton
acquistion
acquit
acquittal
acquittance
acre
acreage
acritarch
acro
acrobat
acrobatic
acrocentric
acroceolite
acrodelphid
acromegalic
acronym
acronymic
acrostic
acrowhatsit
acrylate
acrylic
acrylic-fibre
'act
act
actant
acte
acting
actinian
actinide
actinomycete
-action
action
actionbook
action-description
actionist
action-scene
action-sequence
actions/measure
action-statue
actions/word
activate
activator
active
active-issue
activist
activists-turned-officer
activite
activités
activities/job
activities/product
activitite
acti-vity
activity
activity-rate
activy
actor
actor-dancer
actor-manager
actor-participant
actors/event
actor-wanker
actress
acts/bill
actt
actual
actuality
actualize
actuary
actuate
actuator
acuity
a-cup
acupuncturist
acute
ad
adaba
adage
adagio
adakite
adam
adama
adamse
adapt
adaptation
adapter
adaptés
adaption
adaptor
adatom
adaventure
adaw
add
addac
addam
addbit
adddress
addenbrooke
addendum
adder
addict
addiction
add-in
addio
-addition
addition
additional
additive
addle
add-on
addrese
address
addressee
address-holder
addressing
adds-and-end
adduce
adduct
adductor
add-up
addy
adelantado
ademona
adenine
adenocarcinoma
adenoid
adenoma
adenomcarinoma
adenoviruse
adept
adequacy
adherant
adhere
adheren
adherent
adherente
adhesin
adhesion
adhesive
adhocracy
adiantum
adida
adio
adiós
adirondack
adit
adjective
adjoin
adjourn
adjournment
adjudge
adjudicate
adjudication
adjudicator
adjunct
adjust
adjustable
adjuster
adjustice
adjust-ment
adjustment
adjustor
adjutant
ad-lib
admag
admin
administer
administraor
administrate
administration
administrator
admiral
admiralty
admiration
admire
admirer
admission
admissions/confession
admit
admittance
admix
admixture
admonish
admonishment
admonition
adobe
adolescence
adolescent
adonise
adopt
adoptee
adopter
adoption
adoral
adoration
adore
adorer
adorn
adornment
adosrbent
adr
adrenal
adrenaline
adress
adrian-type
adrile
adsorb
adsorbate
adsorbent
adsorber
adulator
adult
adulterant
adulterate
adulterer
adulteress
adultery
adumbrate
advance
advancement
advance-party
advan-tage
advantage
advantages/disadvantage
advent
adventist
adventure
adventure-plot
adventurer
adventure-seeker
adventuress
adventurist
adverb
adverbal
adverbial
adversary
adversity
advert
advertise
advertisement
advertisements-point
advertisements/poster
advertiser
advertisment
advertorial
adverts/notice
advice
advicea
advise
advisee
adviser
advisers/inspector
advisor
advocado
advocate
advowson
advt
adze
aea
aec
aede
aen
aeneido
aeolian
aeon
aeorolíneas
aequiden
aer
aerate
aerator
aéreas
aereo
aerial
aermacclu-339a
aero
aerobatic
aerobic
aero-delight
aerodrome
aeroduet
aerodynamic
aerodynamicist
aero-engine
aeroengine
aerofacien
aerofilm
aerofoil
aero-future
aerogenerator
aerogram
aerogramme
aerolinea
aerolíneas
aerolith
aeromona
aeronaut
aeronca
aeroplane
aeroplane-maker
aerosol
aerostructure
aerosystem
aerotow
aert
aesthete
aesthetician
aestheticise
aetheling
æthelings
aethiop
aethiopian
aetiology
aetolian
af
afair
afar
affair
affaire
affairiste
affect
affectation
affection
afferent
affiant
afficionado
afficionadoe
affidavit
affiliate
affiliation
affin
affine
affinita
affinity
affirm
affirmation
affirmative
affix
afflate
afflict
affliction
afford
affray
affricate
affrit
affront
afghan
afghani
aficionado
afila
aflotoxin
afm
afp
afpfl
a-frame
afrancesado
africa-homeland
africain
african
african-american
africander
africanist
african-tradition
afrikaaner
afrikakorp
afrikaner
afro
afro-american
afro-asian
afrocentrist
afrolistic
afro-mauritanian
afropithecin
afro-trinidadian
aft
after
after-affect
after-benefit
afterbirth
after-burner
afterburner
aftercast
afterdepolarisation
after-effect
after-event
afterfire
afterglow
after-hour
after-image
afterimage
afterlive
aftermath
aftermoment
afternoon
after-op
aftershaft
aftershave
after-shock
aftershock
after-taste
afterthought
aftertime
afterword
a-fusion
ag
aga
against
against-the-odd
againt
agaonid
agapito
agar
agaricoide
aga-saga
agate
agave
agca
age
age-change
age-grade
age-group
age-grouping
age-limit
age-mate
agen
agence
agencies/group
-agency
agency
agencyha
agenda
agent
agente
agents-provocateur
age-peer
ager
ageratum
age-relation
age-role
agerpre
age-set
age-spot
age-type
agger
agglomerate
agglomeration
agglutinative
aggradation
aggrandizement
aggravate
aggravation
aggregate
aggregation
aggression
aggressionist
aggressor
aggro
a'ghla
agister
agitate
agitation
agitator
agitator-pad
agit-popper
agm
agmatan
agn
agnate
agnathan
agno
agnosia
agnostic
agnostication
ago-industry
agonise
agonising
agonist
agoniste
agonizer
agony
agoo
agoraphobic
ag-pilot
agplane
a-grade
agrarian
agrarianist
agree
agreement
agribuggy
agribusiness
agri-chemical
agrichemical
agricole
agriculturalist
agriculture
agriculturist
agri-factory
agro-chemcial
agro-chemical
agrochemical
agroecosystem
agro-export
agro-industry
agronomic
agronomist
agropinopine
ague
agv
Ägyptisches
ah
aha
ahd
aheadsum
ahearn
a-helice
ahg
a-hib
ahler
ahmedcommunication
ahrense
'ahrry
ai
aia
aiako
aid
aid-donor
aide
aider
aides-memoire
aid-giver
aids-sufferer
aid-user
aid-worker
aigaleo
aigaleos-parne
aiguillette
aigulette
ai-idea
ail
aileron
ailment
aim
aimer
aims/goal
aims/goals/priorities/intention
ainiktozoonid
ainsworthian
air
air-bag
airbag
air-base
airbase
air-bed
air-bladder
air-bottle
air-brake
airbrake
airbreather
air-brick
airbrick
airbridge
airbrush
air-bubble
airburst
airbuse
air-cell
air-chill
air-conditioner
aircraft
aircraft-builder
aircraft-carrier
aircraft-kit
aircraft-stand
air-crew
aircrew
air-current
airdrieonian
airdrionian
air-drop
airdrop
airdry
airedale
airfare
air-field
airfield
air-filter
airflow
air-force
airforce
air-frame
airframe
air-freshener
airfreshener
air-gargoyle
air-gun
airgun
air-gust
airhead
airheld
air-hole
air-horn
air-hostess
airing
air-jet
airknocker
air-letter
airley
airlift
air-line
airline
airliner
air-link
airload
airlock
airmail
air-marshal
airmen
airmile
airmiss
air-movement
airpack
airpass
air-photograph
airpistol
airplane
air-plant
air-pocket
airpocket
airport
airports-peal
airports/port
airpump
air-raid
air-route
air-sac
airscrew
airshaft
airship
airshow
air-sniffer
air-space
airspace
airspeed
airsport
airstone
airstream
airstrike
airstrip
airt
air-thermal
airtours-owner
air-vent
airvent
air-wave
airwave
airway
airwell
airwheel
aischine
aisle
aitch
aiter
aitolian
ai-worker
ajdabiyan
ajr
ak
akarnanian
akheloo
aki-ku-lar-i
akille
akita
akkadian
a-ko-ru
akroyd
akse
al
alabamian
alabaster
alaman
alamanda
alarm
alarm-bell
alarm-clock
alarmist
alarm-quack
alasita
alaskan
alata
alatipe
al-atta
alaudipe
alawite
alb
albanian
albatro
albatross
albean
alber
albere
albertan
albian
albican
albifron
albigensian
albino
albionite
albonube
album
albumin
alcachofa
alcaligene
alcayde
alcebiade
alchemilla
alchemist
alcibiade
alcohol
alcoholic
alcoholicbeverage
alcool
alcove
aldehyde
alden
alder
aldershit
aldh
aldine
aldude
ale
alec
ale-cask
aleconner
ale-cup
ale-house
alehouse
alehousekeeper
alejack
alek
ale-keg
aleksandra
aleman
ale-master
alembic
alert
alerter
alès
aleuad
aleurite
aleut
a'level
a-level
alevel
alevra
alewive
alexander-historian
alexandrin
alexandrine
alexopoulo
alfa-romeo
al-fur
algae
algebra
algebraist
algebrique
algecira
algerian
algicide
alginate
algorithm
alhenc-gela
aliase
alibi
alien
alienate
alienation
alienee
alienist
alifab
alight
align
alignment
alimony
alio
aliphatic
aliquot
alismoide
alis-moy-day
alititude
alix-haunt
alkali
alkaline
alkalinity
alkaloid
alkanal
alkane
alkanol
alkanone
alkene
alky
alkyd
alkyl
alkylamine
alkyl-phospholipd
alkyne
all-age
allam
all-american
allapeen
allay
all-bells-and-whistle
all-black
all-boy
allbreed
all-coat
all-comer
allcomer
all-corner
all-cylinder
allder
alle
allées
allega-tion
allegation
allege
allegiance
allegorizer
allegory
allegretto
allegro
allegte
allele
alleluia
allencheck
aller
allergen
allergist
allergy
alleviate
all-expense
alley
alley-cat
alleynian
alley-sneaker
alley-way
alleyway
all-girl
alliance
allied-maple
alligator
alligazoo
all-in-one
allinson
alliss
all-item
alliteration
allium
all-my-worldly-good
all-nighter
alloantigen
allocate
allocation
allocator
allochthonist
allod
allograft
allograph
allometry
allomorph
allopathist
allophone
allot
allotment
allotment-holder
allotrope
allottee
allow
allowance
allowancea
allowances/benefit
allows/encourage
alloy
all-perhap
all-person
all-point
all-rank
all-risk
all-rounder
allrounder
all-seater
allseater
all-smile
allsopp
all-sort
allsort
all-sport
allsport
all-star
all-station
all-tran
allude
allurement
allusion
allway
all-white
all-winner
ally
alm
almain
almanac
almanack
almandine
almond
almoner
al-moqadda
almoravid
almoravide
almost-friend
alms-house
almshouse
alo
alocentric
aloe
along
alongee
alouette
alp
alpaca
alpargata
alpern
alpes-maritime
alpha
alphabet
alphabetise
alpha-blocker
alpha-helice
alphanumeric
alpha-particle
alpha-wave
alpille
alpine
alpinist
alps
alp-watcher
al-qaba
al-qod
al-qud
al-rasa
alrin
al-sabah
alsatian
alsation
alsike
also-ran
alstroemeria
alstromeria
alsy
altaian
altar
altar-boy
altar-cloth
altar-piece
altarpiece
altar-step
altecean
alter
alteration
alterations/improvement
altercation
alter-ego
altermnative
alternan
alternant
alternate
alternation
alternative
alternativist
alternator
althusserian
altifron
altimeter
altitude
alto
altoft
altruist
alum
alumette
alumina
aluminoid
alumino-silicate
aluminosilicate
alupre
alvare
alveolar
alyscamp
alzheimer
am
ama
amadan
amalekite
amalgam
amalgamate
amalgamation
amanuense
amanuensist
amaranth
amass
amate
amateur
amaze
amazement
amazon
amazona
amazonica
ambassadeur
ambassador
amber
amberol
ambiance
ambience
ambiguity
ambition
ambivalence
amble
ambling
ambra
ambraciot
ambulance
ambulante
ambulatory
ambuscado
ambush
ambusher
amcit
a-measure
amel
ameliorate
amelioration
amenarta
amend
amendment
amends
amenety
amenity
amercement
america
americain
americ-an
american
american-british-dominion
americanisation
americanism
amerindian
amèriquains
amethyst
amforta
amice
amide
amidine
amigo
amine
amino-acid
aminoacid
aminoacyl-trna
aminoacyl-trna-synthetase
aminoglycoside
aminolsalicylate
aminosalicylate
aminotransferase
amir
amirante
amiroutze
amiskwiid
amiss
ammallo
ammanite
'ammer
ammeter
ammoniate
ammonite
ammonoid
ammunition
amnesia
amnesiac
amnesic
amnesty
amniso
amnosic
amo
amoeba
amoeboflagellate
amonge
amorge
amorgós
amorite
amortise
amount
amour
-amp
amp
ampe
ampere
ampersand
amphetamine
amphiacanthoide
amphibian
amphibiologist
amphibole
amphiction
amphipod
amphisbaenian
amphitheater
amphi-theatre
amphitheatre
amphora
amphoteric
amplidue
amplification
amplifier
amplify
amplitude
ampoule
amps/cabinet
amputate
amputation
amputee
amsandwich
amte
amulet
amurricane
amuse
amuse-gueule
amusement
amy
amya
amygist
amyla
amynta
amyse
an
ana
anabantid
anabantoid
anabaptist
anabarite
anabaritid
anablep
anachronism
anachrorlism
anaea
anaemia
anaemic
anaerobe
anaesthetic
anaesthetist
anafilaroide
anaglypta
anagnostopoulo
anagram
anagyroide
anal
analect
analeptic
analgesic
analogization
analogize
analogue
analogue-model
analogy
anal-retentive
analyist
analysand
analyse
analyser
analysis
analysist
analyst
analyst-adviser
analysy
analyte
analytic
analyze
analyzer
a-name
anamness
anana
anandian
anania
anapaest
anaphor
anapsid
anarchist
anarcho-punk
anarchy
anaspid
anasta
anastasio
anastassio
anastassopoulo
anastomose
anathema
anatolian
anatomise
anatomist
anatomy
anau
anaxila
anaylst
anca
ance
ancester
ancestor
ancestry
anchisaur
anchise
anchor
anchorage
anchoress
anchorian
anchorite
anchovy
ancien
ancient
anciliary
ancillary
ancoat
'and
and
andahayla
andahuayla
andalusian
andante
andean
andenea
ander
anderjay
andesite
and-fern
andiron
andmutter
andokide
andorran
andother
andouillette
and-provide
andra
andrew
andrewe
andrianopoulo
andro
androgen
androgyne
android
androniko
andropulo
andry
andsne
'andsome
and-strike
anecdote
anemema
anemometer
anemone
anencephalic
anerica
anethoide
aneuploidy
aneurysm
aneurysma
'ang
ang
anga
angar
angel
angeleno
angelica
angelical
angelique
angelito
anger
angere
angevin
angevine
angiogenesis-inhibitor
angiogram
angiography
angioma
angioplasty
angiosper
angiosperm
angle
angle-beam
angle-figure
angle-grinder
angler
anglesmith
angle-table
anglian
anglican
anglicist
anglo
anglo-american
anglo-argentine
anglo-burman
anglo-canadian
anglo-catholic
anglo-greek
anglo-indian
anglo-norman
anglo-nubian
anglophile
anglophobe
anglophone
anglo-saxon
anglo-torontonian
angolan
angola-worker
angora
angry
angstrom
Ångströms
anguish
angularity
angulation
angústias
anharmonicity
anhydrite
aniketo
animadversion
animal
animal-breeder
animalcule
animal-group
animal-lover
animal-right
animals/insect
animals/plant
animal-watcher
animate
animateur
animatic
animation
animator
animatronic
animist
animosity
anion
anionic
anisotropy
ankle
ankle-biter
anklebiter
ankle-bone
ankle-boot
ankle-holster
ankle-jack
ankle-sock
ankle-strap
ankle-support
anklet
anklewarmer
ankylosaur
anna
anna-eye
annal
annalist
annamite
annate
anneal
annecten
années
annelid
annex
annexation
annihilate
annihilation
anniversary
anno
annotate
annotation
announce
announcement
announcer
annoy
annoyance
annual
annuitant
annuity
annul
anode
anoint
anol
anole
anomal
anomalocariid
anomaly
anophele
anopheline
anophthalmo
anorak
anorexic
anorthosite
another
ansaphone
anse
ansell
ansós
ansty
answer
answerback
answere
answerer
answerphone
ant
anta
antacid
antagonise
antagoniser
antagon-ism
antagonism
antagonist
antagonize
antaio
antalgesic
antare
ant-drug
ante
ant-eater
anteater
antecedent
ante-chamber
antechamber
antedate
antelope
antenna
ante-room
anteroom
ant-file
antgarden
anthelmintic
anthem
anther
anthia
ant-hill
anthill
anthocyanin
anthocyanoside
anthologist
anthology
anthoxanthin
anthozoan
anthracite
anthranoid
anthraquinone
anthropist
anthropoid
anthropologist
anthropology
anthropometric
anthropomorphism
anthurium
anti-abolitionist
anti-abortionist
anti-aid
anti-aphrodisiac
anti-appeaser
anti-arrhythmic
antiastunomologist
anti-athenian
antibacterial
anti-bandwaggoner
antibaryon
antibe
anti-biotic
antibiotic
antibiotics/cortisone
antibiotics/steroid
anti-blood-sport
anti-bloodsport
anti-body
antibody
anti-boer
anti-bolshevik
anti-bolter
antiboyotic
antic
anti-calvinist
anti-campaigner
anti-car
anticarcinogen
anti-centralizer
anti-character
anti-cholinergic
anticholinergic
antichrist
anticipate
anticipation
anticlerical
anti-climax
anticlimax
anticline
anticlise
anti-coagulant
anticoagulant
anti-coalitionist
anticodon
anti-collectivist
anti-communist
anti-conservative
anti-convulsant
anticonvulsant
anti-copernican
anti-cultist
anti-culture
anti-cut
anti-cyclone
anticyclone
anti-darwinian
anti-darwinist
anti-democrat
anti-depressant
antidepressant
anti-detectorist
antidote
antidrug
anti-duvalierist
antielectron
anti-emetic
antiemetic
anti-euro-federalist
anti-european
anti-fan
anti-fascist
anti-federalist
anti-feminist
antifibrinolytic
anti-flogger
anti-fo
antifouling
anti-fungal
antifungal
anti-gambler
anti-garotter
anti-gaullist
antigen
anti-german
anti-god
anti-golfer
anti-gravitic
antiguan
anti-hb
antihelmintic
anti-hereditarian
anti-hero
antihero
anti-heroe
antiheroe
antiherpe
anti-histamine
antihistamine
anti-homosexual
anti-hormone
antihypertensive
anti-imperialist
anti-infective
anti-inflammatory
anti-ism
anti-keynesian
anti-law
anti-leftist
antille
anti-log
antilog
antimacassar
anti-malarial
antimalarial
anti-marketeer
anti-marxist
antimenide
anti-metabolite
antimetabolite
antimicrobial
anti-monarchist
antimony
antimutagen
anti-nationalist
anti-nazi
antineutrino
antineutron
antinomian
antinomy
antiochene
anti-oncogene
anti-organizer
anti-oxidant
antioxidant
antipa
anti-parliamentarian
antiparticle
anti-partisan
antipathy
antipaxo
anti-perspirant
antiperspirant
antiphane
antiphon
anti-planner
antipode
antipodean
anti-politician
anti-pope
anti-profit
antiprotease
antiproton
anti-pylon
antiquaire
antiquarian
anti-quark
antiquark
antiquary
antique
antique-dealer
antiquités
antiquity
antiquitye
anti-racist
antiracist
anti-racket
anti-referee
anti-reformer
anti-regionalist
anti-regulator
anti-republican
anti-road
antirrhinum
anti-sanction
anti-scientist
anti-semite
antisemite
antisen
antiseptic
antiseptics/antibacterial
antiseptics/antibiotic
antiseptics/bacterial
anti-sermon
antiserum
anti-socialist
antispasmodic
anti-spirit
anti-star
antisthene
anti-suffragist
anti-sunglass
anti-system
anti-talk
anti-technologist
antiterrorista
anti-theatricalist
antithesis
anti-tory
anti-toxin
antitoxin
anti-traditionalist
antitype
anti-unionist
anti-venin
anti-viral
antiviral
anti-vivisectionist
anti-vulgarian
antiworld
antixoidant
antler
antler-pick
ant-lion
antonine
antonym
antoxidant
anubia
anuran
anuse
anutrient
anvil
anwar
anxiety
anxiolytic
anybody
anye
anylst
anyon
anyone
anyway
anywhither
ao
aoe
aonach
aonb
aorno
aorta
ap
apach
apanage
aparatchik
apartamento
apartheid
a-particle
apartment
apartment-block
apatite
apatride
ape
ape-eye
ape-hominoid
apennine
aperient
aperitif
apéritifs
aperture
apex
aphasia
aphasic
aphicide
aphid
aphin
aphorism
aphrodisia
aphrodisiac
aphrodisian
aphrodite-spe
apiary-keeper
apic
apice
a-picture
apikoro
a-pillar
apistle
apisto
aple
aplicacione
aplicant
apocalypse
apodeme
apolgy
apolipoprotein
apologetic
apologise
apo-logist
apologist
apologize
apology
apomict
apophthegm
apophyse
apoprotein
aporia
aportheto
apostate
apostle
apostle-mentor
apostolate
apostrophe
apostrophize
apothecary
app
appal
appall
apparat
apparatchik
apparatuse
apparel
apparentement
apparition
apparition-watcher
apparitor
appeal
appear
appearance
appeare
appearence
appear-statement
appease
appeaser
appel
appellant
appellation
appelman
'appen
append
appendage
appendicectomy
appendicularian
appendix
appennine
appertain
appetency
appetiser
appetite
appetizer
applaud
apple
applecart
apple-corer
apple-grower
apple-halve
applepick
apple-pip
apple-py
apple-skin
apples/pear
applet
apple-tree
appliance
applicability
applicant
application
applications/policy
applicator
applier
applique
appliqués
apply
applyfee
appoggiatura
appoint
appointee
appointer
appointment
apport
apportion
apportionment
apposition
appraisal
appraise
appraisee
appraiser
appreciate
appreciation
appreciator
apprehend
apprehension
apprentice
apprenticeship
approach
approbation
approoach
appropriate
appropriateness-condition
appropriation
approval
approval-procedure
approve
approximate
approximation
appt
appurtenance
apr
apricot
aprisione
aproach
apron
apron-pouch
apron-string
apry
